-3.61,2.88,-1.51,-0.21,-0.27,-0.37,17.47,12.28,3.29,0.06,0.12,0.19
-8.06,3.83,-2.00,-0.31,-0.13,-0.69,5.12,8.05,2.16,0.03,0.23,0.09
-8.18,1.66,-2.10,-0.12,0.16,-0.29,2.96,0.92,3.09,0.03,0.04,0.17
-8.63,1.86,-3.43,0.06,-0.04,0.10,3.90,0.82,1.79,0.03,0.03,0.01
-9.70,1.14,-3.20,0.05,0.00,0.07,3.48,2.06,0.53,0.02,0.02,0.01
-12.58,-4.65,-2.20,0.17,0.66,0.30,13.32,32.84,4.35,0.82,0.39,0.31
-10.28,-5.70,-3.07,0.96,1.26,1.27,76.48,55.26,39.14,6.33,1.92,6.23
-0.63,-2.13,-7.42,0.48,0.56,0.70,67.51,35.61,42.43,6.65,2.46,7.35
1.13,1.64,-8.00,-1.11,-0.38,-0.93,13.02,19.81,8.56,0.70,0.09,0.42
-4.91,4.76,-4.52,-1.07,-0.52,-0.94,17.62,2.89,3.84,0.50,0.02,0.22
-9.05,3.47,-2.68,-0.23,-0.46,-0.42,4.62,1.62,0.75,0.13,0.01,0.06
-10.05,2.46,-2.00,0.14,-0.19,-0.28,3.60,0.79,0.28,0.02,0.07,0.01
-9.36,1.56,-2.58,0.15,0.07,-0.22,3.58,0.84,0.87,0.01,0.01,0.02
-8.98,1.72,-3.33,0.00,0.05,-0.03,2.93,1.06,0.57,0.01,0.01,0.01
-9.08,2.22,-3.21,-0.05,0.02,0.02,2.94,0.44,0.45,0.00,0.00,0.00
-8.80,2.38,-3.08,-0.05,0.04,-0.01,2.73,0.29,0.36,0.00,0.00,0.00
-8.70,2.65,-3.16,-0.06,0.02,0.01,2.61,0.26,0.37,0.00,0.00,0.00
-9.42,1.64,-3.27,-0.03,0.10,0.04,4.17,2.29,0.45,0.00,0.02,0.00
-12.25,-2.69,-3.86,0.24,0.52,0.18,11.87,20.44,1.41,0.33,0.19,0.04
-11.29,-7.58,-3.35,1.37,1.28,1.34,61.76,33.98,35.51,4.35,2.19,5.36
-3.55,-5.57,-6.10,1.09,0.80,1.14,71.36,41.75,51.72,4.77,2.79,5.91
1.64,-0.56,-8.96,-0.85,-0.36,-0.68,1.77,10.54,5.96,0.78,0.09,0.54
-2.03,2.92,-6.05,-1.52,-0.60,-1.14,22.40,8.25,5.62,0.27,0.02,0.13
-8.53,3.88,-3.54,-0.74,-0.49,-0.76,13.05,3.01,1.17,0.68,0.03,0.11
-10.49,1.45,-2.73,0.09,-0.20,-0.41,4.08,3.42,0.77,0.10,0.05,0.03
-9.65,0.48,-2.87,0.13,-0.02,-0.17,3.66,1.30,0.70,0.03,0.01,0.03
-9.13,1.46,-3.18,-0.00,-0.02,-0.02,2.93,0.61,0.48,0.00,0.01,0.00
-9.07,2.02,-3.01,-0.00,0.01,0.01,2.85,0.20,0.34,0.00,0.00,0.00
-9.04,1.83,-2.96,-0.00,0.02,0.03,2.83,0.17,0.32,0.00,0.00,0.00
-9.28,0.98,-3.37,0.01,0.10,0.09,3.41,1.39,0.70,0.00,0.01,0.00
-12.19,-1.25,-3.38,0.32,0.47,0.25,14.17,4.18,1.17,0.26,0.16,0.02
-11.93,-5.62,-2.31,1.55,1.42,1.53,65.96,20.12,24.90,1.89,1.53,4.28
-3.80,-5.53,-6.30,1.19,1.04,1.25,84.11,33.43,50.22,2.76,2.12,5.12
2.15,-2.17,-10.02,-0.75,-0.32,-0.63,3.43,17.58,7.07,0.78,0.18,0.47
-0.24,1.36,-7.09,-1.59,-0.65,-1.19,11.43,13.59,6.67,0.35,0.07,0.23
-6.15,4.23,-4.36,-1.15,-0.54,-0.98,13.44,1.54,2.18,0.68,0.03,0.21
-10.14,2.06,-2.73,-0.06,-0.35,-0.47,6.30,5.60,1.64,0.30,0.02,0.06
-10.58,0.37,-2.45,0.27,-0.09,-0.12,5.05,1.22,1.43,0.03,0.05,0.04
-9.37,1.11,-2.97,0.14,0.04,0.04,3.61,0.66,0.88,0.01,0.01,0.00
-8.93,1.91,-3.05,0.04,0.02,0.03,2.78,0.36,0.39,0.01,0.00,0.00
-9.03,1.79,-3.16,-0.02,0.07,0.02,2.91,0.73,0.37,0.00,0.00,0.00
-11.66,-2.12,-3.79,-0.05,0.43,-0.04,13.04,19.35,1.39,0.01,0.16,0.02
-11.12,-6.80,-2.71,1.50,1.24,1.37,71.92,29.16,20.42,5.19,2.13,6.82
-2.74,-4.34,-6.22,1.13,0.94,1.24,85.82,66.43,48.51,7.70,2.54,7.61
1.91,0.15,-9.95,-1.13,-0.18,-0.75,3.49,40.69,8.87,1.71,0.19,0.61
-1.40,3.52,-6.60,-1.41,-0.54,-1.07,12.32,15.01,6.35,0.47,0.02,0.09
-6.75,5.00,-3.81,-0.73,-0.54,-0.71,11.33,2.22,2.15,0.52,0.01,0.13
-10.08,2.64,-2.30,0.13,-0.35,-0.38,4.03,2.60,0.69,0.09,0.05,0.01
-10.04,0.85,-2.56,0.18,-0.05,-0.26,4.21,1.25,1.23,0.04,0.04,0.02
-9.13,1.44,-3.18,-0.03,0.04,-0.10,3.25,1.99,0.81,0.01,0.00,0.01
-8.88,2.58,-3.12,-0.04,0.02,-0.02,2.75,0.35,0.39,0.00,0.00,0.00
-8.90,1.91,-3.29,-0.01,0.08,0.03,2.80,1.05,0.42,0.00,0.00,0.00
-10.84,-1.29,-3.79,-0.10,0.37,0.05,10.82,9.20,0.78,0.02,0.11,0.00
-13.00,-6.14,-3.47,1.24,1.42,1.55,30.54,11.59,21.28,3.39,1.72,5.68
-7.01,-6.33,-5.36,1.30,1.04,1.43,88.98,27.95,41.61,3.77,2.55,6.88
1.34,-2.36,-8.25,-0.84,-0.29,-0.75,27.87,30.54,15.88,1.66,0.14,1.19
