1	-1.9	1.78	-3.53	-0.04	-0.08	0.09	4.77	7.97	15.88	0	0.01	0.01
2	-4.65	3.59	-7.61	-0.12	-0.25	0.24	1.92	4.92	3.76	0	0.01	0.01
3	-5.6	3.92	-7.51	-0.17	-0.45	0.15	1.25	0.87	2.21	0	0.03	0.03
4	-6.6	4.37	-5.95	-0.3	-0.58	-0.23	2.11	0.69	2.83	0.02	0.02	0.06
5	-7.77	3.68	-4.29	-0.35	-0.38	-0.51	2.55	1.25	1.27	0.01	0.06	0.02
6	-8.4	2.16	-3.77	-0.29	-0.05	-0.53	2.46	0.99	0.51	0.01	0.02	0.02
7	-8.58	1.24	-3.89	-0.29	0.06	-0.38	2.58	0.14	0.53	0	0	0.02
8	-8.85	1.15	-3.58	-0.28	0.03	-0.19	2.77	0.18	0.6	0.01	0	0.01
9	-9.2	0.99	-2.77	-0.21	0	-0.03	2.99	0.29	0.73	0.01	0	0.01
10	-9.58	0.94	-2.14	-0.11	0.01	0.02	3.28	0.21	0.33	0.01	0	0
11	-9.3	1.01	-2.13	0.06	0.04	0	3.27	0.23	0.21	0.03	0	0
12	-9.23	1.06	-3.11	0.13	0.03	0.06	3.23	0.88	1.29	0.01	0	0
13	-8.92	1.71	-4.37	0.02	0.03	0.07	3.44	1.03	1.01	0.01	0	0
14	-8.52	1.92	-4.51	-0.04	0.06	0.01	2.75	0.27	0.83	0	0	0
15	-9.02	1.28	-3.88	0.05	0.06	0.04	3.04	0.46	0.96	0.02	0	0.01
16	-8.96	0.81	-3.06	0.12	-0.01	0.1	3.49	0.27	1.12	0.01	0.01	0
17	-9.25	0.93	-3.24	0.02	0	0.09	4.63	0.12	1.27	0.01	0.01	0
18	-9.13	1.34	-3.94	-0.08	0.06	0.01	4.19	0.14	0.73	0	0	0.01
19	-8.65	1.77	-4.05	-0.1	0.05	-0.03	2.72	0.17	0.6	0	0	0
20	-8.65	1.99	-4.2	-0.01	0.02	0.02	2.69	0.2	0.67	0.01	0	0
21	-8.71	1.72	-4.18	0.04	-0.01	0.04	2.69	0.24	0.66	0	0	0
22	-8.81	1.63	-4.01	0.02	-0.01	0.02	2.71	0.15	0.57	0	0	0
23	-8.67	2.01	-4.1	0.04	-0.02	0.04	2.63	0.2	0.61	0	0	0
24	-8.08	2.47	-3.94	0.19	-0.04	0.19	2.81	0.3	0.67	0.02	0	0.03
25	-5.73	2.88	-4.92	0.06	-0.19	1.28	7.31	3.1	4.64	0.14	0.12	1.65
26	-8.69	-0.56	2.87	-0.14	1.28	1.84	53.67	104.35	115.35	2.17	10.57	3.24
27	-5.65	-4.66	5.16	0.14	2.08	0.58	129.84	148.8	125.11	3.46	8.95	3.53
28	2.21	0.85	-1.98	0.13	0.24	-0.44	57.22	118.63	49.51	1.4	1.57	0.48
29	-2.95	6.51	-1.8	0.05	-0.8	-0.76	44.97	24.12	1.25	0.07	0.1	0.08
30	-8.83	5.82	-1.73	0.23	-0.51	-0.84	3.43	2.47	0.62	0.04	0.15	0.05
